Topik 1,Topik 2,Topik 3,Topik 4,Topik 5,Category
0.011068461598009187,0.011066119348425676,0.9557331818205559,0.011066119259513256,0.011066117973496133,Sports
0.01255889022549932,0.012555628562803003,0.9497742243783204,0.012555628522274246,0.012555628311102934,Sports
0.01127613193442798,0.011266199013494061,0.9549252712747286,0.011266198940761973,0.011266198836587322,Sports
0.9634097130861542,0.009146054140800068,0.009152128157450938,0.00914605391549904,0.00914605070009568,Sports
0.9623312352380593,0.009416987601755829,0.009417803416384806,0.009416987501237149,0.00941698624256276,Sports
0.7670894556435232,0.008326474017029116,0.20793112564610575,0.008326473845416777,0.008326470847925153,Sports
0.46203852830538866,0.010472612165858148,0.5065436377372918,0.010472611973118226,0.010472609818343219,Sports
0.9622875068924469,0.00942552156837972,0.009435929859177147,0.009425521459757552,0.009425520220238518,Sports
0.9631633071888387,0.00920874429675409,0.00921045978077943,0.009208744219865112,0.009208744513762577,Sports
0.010314301061708856,0.010311441197466778,0.9587513774591916,0.010311441072725316,0.010311439208907302,Sports
0.3650670102867404,0.011771207753219836,0.59961936691564,0.01177120771101895,0.011771207333380981,Sports
0.9531923196940472,0.011701725784074682,0.011702507786917553,0.011701725515166208,0.011701721219794481,Sports
0.008455217835519342,0.008451721784246144,0.9661896126587282,0.008451721674683685,0.008451726046822662,Sports
0.9533757745286552,0.011655230221853535,0.0116585371174572,0.011655230088986895,0.011655228043047403,Sports
0.9601793854592467,0.009954909706757891,0.009955888589060876,0.009954909506323528,0.009954906738610958,Sports
0.9586389734291375,0.010339970487415433,0.01034111636571346,0.010339970414384659,0.010339969303348939,Sports
0.9581798961206628,0.010454785676058617,0.010455732929031531,0.01045478558241363,0.010454799691833586,Sports
0.9622364548047511,0.009440652274315715,0.00944158989588557,0.009440652187927607,0.00944065083711996,Sports
0.9623075101630238,0.009422846803297961,0.009423948813673992,0.009422846725288411,0.009422847494715815,Sports
0.9601987221517828,0.00995018733769988,0.009950717310015922,0.009950187253937046,0.009950185946564273,Sports
0.9550054000200403,0.011247495058455894,0.011252094767585454,0.011247494854091662,0.011247515299826432,Sports
0.9541438970549939,0.011463841358202026,0.01146458181974855,0.011463841171947776,0.011463838595107492,Sports
0.010867892110171236,0.010842823918808205,0.9566036378174004,0.010842823741203851,0.010842822412416245,Sports
0.7973409899015389,0.011217267332395685,0.011217668631307652,0.011217266993283001,0.1690068071414747,Sports
0.9669043589117384,0.008273646818115713,0.008274702374460999,0.008273646711892893,0.008273645183792012,Sports
0.7154514402367085,0.010232292793624208,0.0102350414806558,0.01023229590071996,0.2538489295882917,Sports
0.9531487837480461,0.011711964028947475,0.011715325423708853,0.011711963955419942,0.011711962843877355,Sports
0.962194457741659,0.00944795889538217,0.009461668574175214,0.009447958599843334,0.009447956188940098,Sports
0.9644731810406079,0.008880757761674204,0.00888454714637268,0.008880757644215363,0.008880756407129977,Sports
0.011024061353468338,0.011020923256107422,0.9559131698481715,0.011020923165944812,0.0110209223763079,Sports
0.007851088185154871,0.007848181633601084,0.9686043680160056,0.007848181548973486,0.007848180616265013,Sports
0.29776018017949,0.00887949768121603,0.6756013264493705,0.008879497458650394,0.008879498231273035,Sports
0.007755341975482455,0.007751886917601833,0.9689889989908046,0.007751886766598031,0.007751885349513097,Sports
0.9617643389080716,0.00955770371288167,0.00956255204911724,0.009557703570624897,0.009557701759304702,Sports
0.951334120070282,0.012166329418478972,0.012166896076517796,0.012166329144729263,0.012166325289992005,Sports
0.008342201061586821,0.008339322890271757,0.9666398288344633,0.008339322810738058,0.008339324402939956,Sports
0.35479370532512755,0.009551743802989095,0.6165510654515286,0.009551743622968784,0.009551741797385991,Sports
0.9563759811820272,0.010905723898895284,0.010906850121615424,0.010905723728461906,0.010905721069000236,Sports
0.32945127053647716,0.009193907458520565,0.6429669988937582,0.00919390729439875,0.009193915816845375,Sports
0.7166555363269536,0.009410238148683003,0.25511375413307524,0.009410237868759693,0.00941023352252855,Sports
0.014975520868233266,0.014970092181277787,0.9401141293578229,0.014970091920851848,0.014970165671814131,Sports
0.3802354536420351,0.009147052152158849,0.5923233918308841,0.009147051922481098,0.009147050452440795,Sports
0.32184501410589783,0.008147075718502119,0.6537137614201411,0.008147075560254648,0.008147073195204156,Sports
0.9537813184775878,0.011554133961446457,0.011556285520384756,0.011554133605252015,0.011554128435328949,Sports
0.013777750073428827,0.013774970350992772,0.9448972585432253,0.013774970306434115,0.013775050725919157,Sports
0.954156487874896,0.01146073064590625,0.011461320836574234,0.011460730606420267,0.011460730036203223,Sports
0.6279684328689373,0.015249409597005235,0.01525449757080563,0.015249412358121142,0.32627824760513086,Sports
0.011066701300228785,0.011060731683208676,0.9557511075468726,0.011060731471569793,0.011060727998120213,Sports
0.9710219242629289,0.00724435998867957,0.007244998566011129,0.007244360992869855,0.007244356189510543,Sports
0.9502211362771855,0.012444388632675057,0.012445701340154556,0.012444388424139662,0.01244438532584519,Sports
0.9625998385486573,0.009349905001265535,0.009350447817920063,0.009349904909721103,0.009349903722436048,Sports
0.957725351231199,0.010568137027141843,0.0105702400001396,0.01056813689383667,0.010568134847682889,Sports
0.9589819444021419,0.010254337638853415,0.010255045009232907,0.010254337498139766,0.01025433545163196,Sports
0.9572690169898391,0.010682583342433228,0.010683233205011963,0.01068258332710941,0.01068258313560623,Sports
0.9637212209642203,0.009069515494213603,0.009070233147995242,0.009069515459244807,0.00906951493432603,Sports
0.960875326448105,0.009780959919854545,0.009781795234509172,0.009780959836463415,0.009780958561067825,Sports
0.7497092065681683,0.013903179922749902,0.013909076556950298,0.013903179506710281,0.20857535744542116,Sports
0.012770394278514617,0.012764544816452773,0.9489359742399459,0.012764544623856231,0.012764542041230507,Sports
0.44845453346881514,0.010113477496555834,0.5212045782970098,0.010113477427637923,0.010113933309981275,Sports
0.6887606097528465,0.011535040065040395,0.2766328057896557,0.011535042555742994,0.01153650183671441,Sports
0.9380137279321453,0.015489166180081372,0.015518778332397811,0.015489165815330575,0.015489161740045042,Sports
0.9537069020597486,0.011572912584944828,0.011574362037051564,0.011572912472884065,0.011572910845370838,Sports
0.7286106634305376,0.013836573416320896,0.22987962077447913,0.013836573048825384,0.013836569329836915,Sports
0.9589097126000646,0.010272433563852636,0.010272987487183362,0.010272433514002081,0.01027243283489744,Sports
0.9558060700996542,0.011048242931258327,0.011049203266439673,0.011048242804176905,0.01104824089847075,Sports
0.9517594017859082,0.012059641617321658,0.012061674069379504,0.012059641569517266,0.012059640957873404,Sports
0.9596180485824959,0.01009516351769642,0.010096462021242779,0.010095163375212652,0.010095162503352259,Sports
0.010756574702587623,0.010753584618790389,0.9569826724192262,0.01075358457373625,0.0107535836856597,Sports
0.2897678100120888,0.010459878220198454,0.678852558575777,0.010459878002361284,0.010459875189574475,Sports
0.9666603044051013,0.008334475376064233,0.00833627108059809,0.008334475279214472,0.008334473859022067,Sports
0.9551742499289197,0.011206247297986693,0.011207008664862315,0.011206247273119899,0.011206246835111202,Sports
0.9611362485724853,0.009715810783405115,0.0097163217407213,0.009715810646766417,0.009715808256621808,Sports
0.9610705269673433,0.0097320303623596,0.009733058206118056,0.009732030252625423,0.009732354211553676,Sports
0.969454543748156,0.007636141194807911,0.007637031875286541,0.007636142008917326,0.007636141172832139,Sports
