Topik 1,Topik 2,Topik 3
0.01131692414459617,0.01131678139267407,0.9773662944627298
0.012879514592486789,0.012897984252200536,0.9742225011553127
0.011527825115987843,0.011525915425706303,0.9769462594583059
0.009316665162869364,0.009316379763821324,0.9813669550733094
0.009597851363907778,0.009597743173570547,0.9808044054625217
0.008468733728653088,0.00846740935614502,0.9830638569152018
0.010696941559150921,0.010696541201830103,0.9786065172390189
0.009606844378996914,0.009606538142741566,0.9807866174782616
0.6649899609316989,0.009381559791789536,0.32562847927651156
0.010528711483525069,0.010528579584656108,0.9789427089318188
0.012055606742427926,0.012054976966765342,0.9758894162908068
0.011982223783574733,0.011982179432679355,0.976035596783746
0.00859728230484743,0.008597067893516783,0.9828056498016359
0.011933660238541243,0.011933317106790173,0.9761330226546686
0.010157392086266889,0.010157138256294402,0.9796854696574387
0.010558553091172262,0.01055830358062648,0.9788831433282011
0.748799300627151,0.010678038839195625,0.2405226605336533
0.009622484408022856,0.009622329890688086,0.980755185701289
0.009604428745819347,0.009603830719761485,0.9807917405344191
0.5967304069798355,0.01015226052082176,0.3931173324993428
0.011506887109240917,0.011506379201982988,0.976986733688776
0.9765267360917889,0.01173275687745346,0.01174050703075754
0.011083726603341754,0.01108362785220294,0.9778326455444554
0.9770399407976864,0.011474424793479071,0.011485634408834414
0.008413164448298245,0.008412842477551917,0.9831739930741499
0.8645197474962839,0.010445916726984427,0.12503433577673154
0.011993178359423075,0.01199287137271582,0.9760139502678611
0.009630057655050372,0.009629739137382139,0.9807402032075675
0.00904145327425599,0.009041307582267016,0.9819172391434771
0.011269491320991868,0.011269309022780458,0.9774611996562277
0.007973621291535714,0.00798113315741074,0.9840452455510535
0.00904016581907408,0.009040103278927271,0.9819197309019987
0.00787415267290369,0.00787402701552983,0.9842518203115664
0.009744956224813637,0.009743949891480527,0.9805110938837058
0.01247477568515646,0.012469843428566876,0.9750553808862766
0.008481064979615335,0.008480800728017124,0.9830381342923675
0.009740651558183967,0.009737727111415536,0.9805216213304006
0.6243505619882277,0.011148880299832796,0.3645005577119395
0.009367156910094437,0.009366130788896617,0.9812667123010089
0.009591177717876096,0.009590627721424955,0.980818194560699
0.015435374590927331,0.01543230540302896,0.9691323200060437
0.5657697749790896,0.00931745370580712,0.42491277131510324
0.008282200276511132,0.008281984841059782,0.983435814882429
0.011828191364097119,0.43635501990365105,0.5518167887322519
0.014165480988876225,0.014166991345124776,0.971667527665999
0.9765338398044919,0.011729581920762261,0.011736578274745764
0.9685303012592004,0.01572897468408285,0.015740724056716855
0.01131183190373653,0.01131093881641682,0.9773772292798467
0.0073514910180491715,0.00735087961704993,0.985297629364901
0.012762255606385308,0.012761976107942724,0.974475768285672
0.9809372854079695,0.009528058120028217,0.00953465647200225
0.010797089362042088,0.010796342241307136,0.9784065683966509
0.010469874833427109,0.010469069449113985,0.9790610557174589
0.9781616172940046,0.010915815742127348,0.010922566963868006
0.9815170206694311,0.009237116374565804,0.009245862956003053
0.9800360379689921,0.009976153154682537,0.009987808876325322
0.3336430263529886,0.014300745139651006,0.6520562285073603
0.013099451547633211,0.013099069652163998,0.9738014788002027
0.010322425391604976,0.01032248287922116,0.9793550917291738
0.5677675870812203,0.011807199588703316,0.42042521333007626
0.01598443686918793,0.015984120554871455,0.9680314425759406
0.011847590207115483,0.011847118269163015,0.9763052915237215
0.014238255681410957,0.014237478002581174,0.9715242663160079
0.9790191367464692,0.010487894135334663,0.010492969118196173
0.011300744377941447,0.011297930957263539,0.977401324664795
0.8396894479958169,0.012357703920729518,0.14795284808345371
