Topik 1,Topik 2,Topik 3,Category
0.010804136940021492,0.010804176642909837,0.9783916864170688,Sports
0.009754117137352364,0.009754119259052117,0.9804917636035955,Sports
0.010568034743389113,0.010568024009276178,0.9788639412473348,Sports
0.009099478659047939,0.08920710858539038,0.9016934127555617,Sports
0.010533056781598844,0.010533660889743996,0.9789332823286572,Sports
0.010023970803182174,0.010023967881439192,0.9799520613153787,Sports
0.010280687013699772,0.01028068539549809,0.9794386275908021,Sports
0.008977829848755375,0.3448349585279884,0.6461872116232562,Sports
0.010108821154183881,0.010108814250579301,0.9797823645952368,Sports
0.010469079113279364,0.010469067065985115,0.9790618538207354,Sports
0.011800165009330508,0.01180014219238603,0.9763996927982834,Sports
0.010930975226033068,0.010931227314935439,0.9781377974590315,Sports
0.009429669961573949,0.009429658174212275,0.9811406718642137,Sports
0.38298130803284286,0.011829359637342256,0.605189332329815,Sports
0.011083502271972103,0.20266045702378913,0.7862560407042387,Sports
0.009422596945925406,0.009422586567356063,0.9811548164867184,Sports
0.013099032955124665,0.013099529925823384,0.973801437119052,Sports
0.012139247598544137,0.3147270529834672,0.6731336994179888,Sports
0.010599665385075856,0.010599643567311901,0.9788006910476121,Sports
0.010126649791444479,0.010126643605098672,0.9797467066034569,Sports
0.010035971019907079,0.01003596041258585,0.9799280685675071,Sports
0.010676266580207408,0.010676264302305045,0.9786474691174876,Sports
0.012761359874506472,0.2759378799262473,0.7113007601992462,Sports
0.01055657404678112,0.010556555152687214,0.9788868708005316,Sports
0.009308603229044475,0.009309449142171404,0.9813819476287841,Sports
0.008728965570076,0.008734894064175635,0.9825361403657484,Sports
0.013195337085450278,0.013195324479705938,0.9736093384348438,Sports
0.010246010060788732,0.010246002990488185,0.9795079869487232,Sports
0.010395125595243856,0.010395112697434516,0.9792097617073217,Sports
0.008488425210383375,0.00848841241923999,0.9830231623703767,Sports
0.008710810433712246,0.008710750569134982,0.9825784389971528,Sports
0.011974094422100618,0.011974078666853485,0.976051826911046,Sports
0.010008729728791726,0.010009205964218396,0.97998206430699,Sports
0.011208989814809412,0.011208977226380803,0.9775820329588099,Sports
0.009804065789021627,0.009804208975909053,0.9803917252350693,Sports
0.01176650514797709,0.23634120693686825,0.7518922879151546,Sports
0.00937584054192014,0.00937589233917831,0.9812482671189016,Sports
0.008631935179972556,0.008632126466461516,0.9827359383535659,Sports
0.014230317933528216,0.1217575602074292,0.8640121218590425,Sports
